Indicator 59 Monthly electricity usage at Australian Antarctic Stations,,,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure,,
Apr-91,-68.57661111,77.96738889,Davis,Station electricity usage,131520,,kWh,,
Apr-91,-66.28180556,110.5276111,Casey,Station electricity usage,,,kWh,,
Apr-91,-54.61988889,158.861,Macquarie Island,Station electricity usage,43851,,kWh,,
May-91,-67.60269444,62.87380556,Mawson,Station electricity usage,186438,,kWh,,
May-91,-68.57661111,77.96738889,Davis,Station electricity usage,152280,,kWh,,
May-91,-66.28180556,110.5276111,Casey,Station electricity usage,116712,,kWh,,
May-91,-54.61988889,158.861,Macquarie Island,Station electricity usage,49110,,kWh,,
Jun-91,-67.60269444,62.87380556,Mawson,Station electricity usage,177912,,kWh,,
Jun-91,-68.57661111,77.96738889,Davis,Station electricity usage,145056,,kWh,,
Jun-91,-66.28180556,110.5276111,Casey,Station electricity usage,188340,,kWh,,
Jun-91,-54.61988889,158.861,Macquarie Island,Station electricity usage,47484,,kWh,,
Jul-91,-67.60269444,62.87380556,Mawson,Station electricity usage,186186,,kWh,,
Jul-91,-68.57661111,77.96738889,Davis,Station electricity usage,153600,,kWh,,
Jul-91,-66.28180556,110.5276111,Casey,Station electricity usage,202560,,kWh,,
Jul-91,-54.61988889,158.861,Macquarie Island,Station electricity usage,47482,,kWh,,
Aug-91,-67.60269444,62.87380556,Mawson,Station electricity usage,189812,,kWh,,
Aug-91,-68.57661111,77.96738889,Davis,Station electricity usage,153120,,kWh,,
Aug-91,-66.28180556,110.5276111,Casey,Station electricity usage,,,kWh,,
Aug-91,-54.61988889,158.861,Macquarie Island,Station electricity usage,49464,,kWh,,
Sep-91,-67.60269444,62.87380556,Mawson,Station electricity usage,177030,,kWh,,
Sep-91,-68.57661111,77.96738889,Davis,Station electricity usage,159960,,kWh,,
Sep-91,-66.28180556,110.5276111,Casey,Station electricity usage,,,kWh,,
Sep-91,-54.61988889,158.861,Macquarie Island,Station electricity usage,44704,,kWh,,
Oct-91,-67.60269444,62.87380556,Mawson,Station electricity usage,170240,,kWh,,
Oct-91,-68.57661111,77.96738889,Davis,Station electricity usage,145200,,kWh,,
Oct-91,-66.28180556,110.5276111,Casey,Station electricity usage,168204,,kWh,,
Oct-91,-54.61988889,158.861,Macquarie Island,Station electricity usage,49161,,kWh,,
Nov-91,-67.60269444,62.87380556,Mawson,Station electricity usage,151396,,kWh,,
Nov-91,-68.57661111,77.96738889,Davis,Station electricity usage,132360,,kWh,,
Nov-91,-66.28180556,110.5276111,Casey,Station electricity usage,,,kWh,,
Nov-91,-54.61988889,158.861,Macquarie Island,Station electricity usage,43391,,kWh,,
Dec-91,-67.60269444,62.87380556,Mawson,Station electricity usage,138334,,kWh,,
Dec-91,-68.57661111,77.96738889,Davis,Station electricity usage,117840,,kWh,,
Dec-91,-66.28180556,110.5276111,Casey,Station electricity usage,,,kWh,,
Dec-91,-54.61988889,158.861,Macquarie Island,Station electricity usage,42070,,kWh,,
Jan-92,-67.60269444,62.87380556,Mawson,Station electricity usage,155960,,kWh,,
Jan-92,-68.57661111,77.96738889,Davis,Station electricity usage,112335,,kWh,,
Jan-92,-66.28180556,110.5276111,Casey,Station electricity usage,,,kWh,,
Jan-92,-54.61988889,158.861,Macquarie Island,Station electricity usage,41065,,kWh,,
Feb-92,-67.60269444,62.87380556,Mawson,Station electricity usage,154560,,kWh,,
Feb-92,-68.57661111,77.96738889,Davis,Station electricity usage,101724,,kWh,,
Feb-92,-66.28180556,110.5276111,Casey,Station electricity usage,259283,,kWh,,
Feb-92,-54.61988889,158.861,Macquarie Island,Station electricity usage,43254,,kWh,,
Mar-92,-67.60269444,62.87380556,Mawson,Station electricity usage,180530,,kWh,,
Mar-92,-68.57661111,77.96738889,Davis,Station electricity usage,135372,,kWh,,
Mar-92,-66.28180556,110.5276111,Casey,Station electricity usage,176404,,kWh,,
Mar-92,-54.61988889,158.861,Macquarie Island,Station electricity usage,50563,,kWh,,
Apr-92,-67.60269444,62.87380556,Mawson,Station electricity usage,185080,,kWh,,
Apr-92,-68.57661111,77.96738889,Davis,Station electricity usage,152016,,kWh,,
Apr-92,-66.28180556,110.5276111,Casey,Station electricity usage,157932,,kWh,,
Apr-92,-54.61988889,158.861,Macquarie Island,Station electricity usage,64103,,kWh,,
May-92,-67.60269444,62.87380556,Mawson,Station electricity usage,189840,,kWh,,
May-92,-68.57661111,77.96738889,Davis,Station electricity usage,164520,,kWh,,
May-92,-66.28180556,110.5276111,Casey,Station electricity usage,166672,,kWh,,
May-92,-54.61988889,158.861,Macquarie Island,Station electricity usage,57970,,kWh,,
Jun-92,-67.60269444,62.87380556,Mawson,Station electricity usage,186741,,kWh,,
Jun-92,-68.57661111,77.96738889,Davis,Station electricity usage,160464,,kWh,,
Jun-92,-66.28180556,110.5276111,Casey,Station electricity usage,163932,,kWh,,
Jun-92,-54.61988889,158.861,Macquarie Island,Station electricity usage,52822,,kWh,,
Jul-92,-67.60269444,62.87380556,Mawson,Station electricity usage,212562,,kWh,,
Jul-92,-68.57661111,77.96738889,Davis,Station electricity usage,169776,,kWh,,
Jul-92,-66.28180556,110.5276111,Casey,Station electricity usage,175452,,kWh,,
Jul-92,-54.61988889,158.861,Macquarie Island,Station electricity usage,54352,,kWh,,
Aug-92,-67.60269444,62.87380556,Mawson,Station electricity usage,221824,,kWh,,
Aug-92,-68.57661111,77.96738889,Davis,Station electricity usage,163812,,kWh,,
Aug-92,-66.28180556,110.5276111,Casey,Station electricity usage,127140,,kWh,,
Aug-92,-54.61988889,158.861,Macquarie Island,Station electricity usage,52683,,kWh,,
Sep-92,-67.60269444,62.87380556,Mawson,Station electricity usage,207634,,kWh,,
Sep-92,-68.57661111,77.96738889,Davis,Station electricity usage,159540,,kWh,,
Sep-92,-66.28180556,110.5276111,Casey,Station electricity usage,165813,,kWh,,
Sep-92,-54.61988889,158.861,Macquarie Island,Station electricity usage,49459,,kWh,,
Oct-92,-67.60269444,62.87380556,Mawson,Station electricity usage,199122,,kWh,,
Oct-92,-68.57661111,77.96738889,Davis,Station electricity usage,160440,,kWh,,
Oct-92,-66.28180556,110.5276111,Casey,Station electricity usage,,,kWh,,
Oct-92,-54.61988889,158.861,Macquarie Island,Station electricity usage,50664,,kWh,,
Nov-92,-67.60269444,62.87380556,Mawson,Station electricity usage,169694,,kWh,,
Nov-92,-68.57661111,77.96738889,Davis,Station electricity usage,130560,,kWh,,
Nov-92,-66.28180556,110.5276111,Casey,Station electricity usage,146352,,kWh,,
Nov-92,-54.61988889,158.861,Macquarie Island,Station electricity usage,46993,,kWh,,
Dec-92,-66.28180556,110.5276111,Casey,Station electricity usage,138456,,kWh,,
Dec-92,-54.61988889,158.861,Macquarie Island,Station electricity usage,47747,,kWh,,
Jan-93,-67.60269444,62.87380556,Mawson,Station electricity usage,133295,,kWh,,
Jan-93,-68.57661111,77.96738889,Davis,Station electricity usage,119172,,kWh,,
Jan-93,-66.28180556,110.5276111,Casey,Station electricity usage,150332,,kWh,,
Jan-93,-54.61988889,158.861,Macquarie Island,Station electricity usage,44680,,kWh,,
Feb-93,-67.60269444,62.87380556,Mawson,Station electricity usage,148505,,kWh,,
Feb-93,-68.57661111,77.96738889,Davis,Station electricity usage,118032,,kWh,,
