Indicator 56 Monthly fuel usage of the generator sets and boilers,,,,,,,,,
Date,Latitude,Longitude,Place,Parameter,Value,Error,Unit of measure,,
Sep-99,-67.60269444,62.87380556,Mawson,Fuel usage,60470,,litres,,
Sep-99,-68.57661111,77.96738889,Davis,Fuel usage,52698,,litres,,
Sep-99,-66.28180556,110.5276111,Casey,Fuel usage,45971,,litres,,
Oct-99,-67.60269444,62.87380556,Mawson,Fuel usage,57913,,litres,,
Oct-99,-68.57661111,77.96738889,Davis,Fuel usage,45872,,litres,,
Oct-99,-66.28180556,110.5276111,Casey,Fuel usage,43303,,litres,,
Nov-99,-67.60269444,62.87380556,Mawson,Fuel usage,47062,,litres,,
Nov-99,-68.57661111,77.96738889,Davis,Fuel usage,41725,,litres,,
Nov-99,-66.28180556,110.5276111,Casey,Fuel usage,40528,,litres,,
Dec-99,-67.60269444,62.87380556,Mawson,Fuel usage,44914,,litres,,
Dec-99,-68.57661111,77.96738889,Davis,Fuel usage,42007,,litres,,
Dec-99,-66.28180556,110.5276111,Casey,Fuel usage,47154,,litres,,
Jan-00,-67.60269444,62.87380556,Mawson,Fuel usage,41865,,litres,,
Jan-00,-68.57661111,77.96738889,Davis,Fuel usage,44723,,litres,,
Jan-00,-66.28180556,110.5276111,Casey,Fuel usage,46908,,litres,,
Jan-00,-54.61988889,158.861,Macquarie Island,Fuel usage,19572,,litres,,
Feb-00,-67.60269444,62.87380556,Mawson,Fuel usage,42825,,litres,,
Feb-00,-68.57661111,77.96738889,Davis,Fuel usage,41603,,litres,,
Feb-00,-66.28180556,110.5276111,Casey,Fuel usage,45048,,litres,,
Feb-00,-54.61988889,158.861,Macquarie Island,Fuel usage,14485,,litres,,
Mar-00,-67.60269444,62.87380556,Mawson,Fuel usage,52185,,litres,,
Mar-00,-68.57661111,77.96738889,Davis,Fuel usage,50558,,litres,,
Mar-00,-66.28180556,110.5276111,Casey,Fuel usage,49391,,litres,,
Mar-00,-54.61988889,158.861,Macquarie Island,Fuel usage,18181,,litres,,
Apr-00,-67.60269444,62.87380556,Mawson,Fuel usage,52929,,litres,,
Apr-00,-68.57661111,77.96738889,Davis,Fuel usage,51010,,litres,,
Apr-00,-66.28180556,110.5276111,Casey,Fuel usage,51099,,litres,,
Apr-00,-54.61988889,158.861,Macquarie Island,Fuel usage,16901,,litres,,
May-00,-67.60269444,62.87380556,Mawson,Fuel usage,61298,,litres,,
May-00,-68.57661111,77.96738889,Davis,Fuel usage,55852,,litres,,
May-00,-66.28180556,110.5276111,Casey,Fuel usage,54707,,litres,,
May-00,-54.61988889,158.861,Macquarie Island,Fuel usage,18687,,litres,,
Jun-00,-67.60269444,62.87380556,Mawson,Fuel usage,55861,,litres,,
Jun-00,-68.57661111,77.96738889,Davis,Fuel usage,54771,,litres,,
Jun-00,-66.28180556,110.5276111,Casey,Fuel usage,53267,,litres,,
Jun-00,-54.61988889,158.861,Macquarie Island,Fuel usage,17836,,litres,,
Jul-00,-67.60269444,62.87380556,Mawson,Fuel usage,60676,,litres,,
Jul-00,-68.57661111,77.96738889,Davis,Fuel usage,56241,,litres,,
Jul-00,-66.28180556,110.5276111,Casey,Fuel usage,56521,,litres,,
Jul-00,-54.61988889,158.861,Macquarie Island,Fuel usage,18196,,litres,,
